,song_id,song_name,artist_1,artist_2,artist_3,release_date,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,key,valence,tempo,time_signature,mode
744,0quxXH6y1QyeYbjjVOMUFl,Chapter 208 - The Unlit Lamp,Radclyffe Hall,Alice White,Synthesized Voice,1924-01-01,0,181290,0,0.687,0.29,-16.338,0.937,0.698,0.0,0.125,0,0.359,101.482,4,0
748,0zYxScpizOj2XkB9jU9LxQ,Sentimiento Gaucho - Remasterizado,Francisco Canaro,,,1924-07-12,0,173467,0,0.533,0.219,-14.809,0.0827,0.996,0.911,0.31,8,0.428,71.05,3,1
830,2qs3EQifFTq9TWcEzdqHwD,Chapter 126 - The Unlit Lamp,Radclyffe Hall,Alice White,Synthesized Voice,1924-01-01,0,183171,0,0.701,0.328,-16.581,0.928,0.707,0.0,0.145,0,0.301,132.376,3,0
854,3I2PT0BntsOZFuH1CCpQqc,Chapter 70 - The Unlit Lamp,Radclyffe Hall,Alice White,Synthesized Voice,1924-01-01,0,184401,0,0.706,0.285,-16.48,0.926,0.637,0.0,0.259,9,0.448,132.58,3,1
1196,016NlN2JbCb8N998hvHvoj,Twelfth Street Rag,Louis Armstrong & His Hot Seven,,,1925-01-01,3,182733,0,0.757,0.272,-7.66,0.192,0.924,0.845,0.076,3,0.919,117.615,4,1
1211,0FKHW3AkqbvVlXBDpyURar,Глава 10. Часть 2.9 & Глава 11. Часть 1.1 - Кюхля,Юрий Тынянов,,,1925-03-24,0,196446,0,0.703,0.15,-19.806,0.957,0.794,0.0,0.473,10,0.478,109.856,1,0
1391,2OBuEEjYJuKbHyi8n6rviv,Wash Woman Blues,Hociel Thomas,,,1925-01-01,1,176440,0,0.596,0.151,-12.226,0.0464,0.932,0.0,0.35,2,0.478,91.532,4,1
1399,2SkCeUUaX2hrixAHeNPJqr,Knockin' A Jug - 78 rpm Version,Louis Armstrong,,,1925-01-01,0,194200,0,0.806,0.358,-14.0,0.156,0.578,0.799,0.15,10,0.598,113.569,4,1
1542,458jHdS2dbCdf9rJGDvEby,Глава 7. Часть 2.3 - Кюхля,Юрий Тынянов,,,1925-03-24,0,240600,0,0.711,0.157,-19.442,0.949,0.859,0.0,0.48,8,0.659,112.399,3,0
1549,49CWj559WpPhLTPOCaezp9,Ory's Creole Trombone,Louis Armstrong & His Hot Five,,,1925-01-01,1,182453,0,0.709,0.52,-8.295,0.12,0.956,0.786,0.769,5,0.961,101.64,4,1
1637,5Evzg1c0XpotWquySLJfio,Глава 4. Часть 2.7 - Кюхля,Юрий Тынянов,,,1925-03-24,0,201600,0,0.691,0.128,-20.39,0.955,0.854,0.0,0.129,6,0.552,103.503,4,1
1736,6HDHWJH0wzJcJZGDzIRsvu,Глава 12.5 - Кюхля,Юрий Тынянов,,,1925-03-24,0,222300,0,0.694,0.162,-19.566,0.94,0.823,0.0,0.301,11,0.522,86.108,3,1
1744,6QILmLcVU43LVtW6sHI99l,Глава 5. Часть 1.13 - Кюхля,Юрий Тынянов,,,1925-03-24,0,199000,0,0.694,0.178,-20.313,0.962,0.9,0.0,0.138,6,0.552,135.003,3,0
1753,6XWCeD5XNqZr5XPVZUDn1G,Pause Track,Louis Armstrong,,,1925-01-01,0,4000,0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
1799,7A4I7uf8yUkryHtoDBmAkN,Hotter Than That,Louis Armstrong & His Hot Five,,,1925-01-01,0,182333,0,0.795,0.425,-9.428,0.0632,0.891,0.283,0.233,3,0.92,108.781,4,1
1809,7H10WqQlIiuAqh2g5WSNDB,Глава 9. Часть 1.4 - Кюхля,Юрий Тынянов,,,1925-03-24,0,283600,0,0.709,0.176,-20.462,0.954,0.879,0.0,0.249,10,0.738,117.735,4,0
1824,7bgYtpP5qxWabDHsPY8Rwc,Pause Track,Louis Armstrong,,,1925-01-01,0,4000,0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
1836,7jWQgdJ6uOWxKR9yRBcASb,"Faust, Acte 3, Scène Et Duo Du Jardin (1ère Partie): ""Il Était Temps! Sous Le Feuillage Sombre""",Georges Thill,,,1925-01-01,0,264700,0,0.263,0.163,-18.748,0.0766,0.862,0.0601,0.108,7,0.0742,81.784,4,0
1864,3KcOqfH9pMzbbRXKGzADaa,Two Sleepy People,Fats Waller,,,1926-01-01,24,183560,0,0.651,0.0867,-18.882,0.048,0.725,6.54e-05,0.169,5,0.54,87.221,4,1
1972,0wks7UMBOJ9Q8qdk1ibgiJ,"Patty Cake, Patty Cake",Fats Waller,,,1926-01-01,5,194880,0,0.715,0.296,-15.082,0.0715,0.885,0.0159,0.0552,0,0.782,102.969,4,1
2028,7xoKblVgkrpJ2ckky3SAB1,Basin Street Blues,Louis Armstrong & His Hot Five,,,1926-01-01,7,194973,0,0.578,0.169,-12.513,0.0513,0.822,7.56e-05,0.851,10,0.369,109.418,4,1
2051,0BjtCwfDH15trQGxhUwwxT,Kapitel 358 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,118532,0,0.756,0.184,-22.445,0.943,0.509,0.0,0.197,5,0.466,103.189,3,1
2096,0eyFWGiMuRTnmrCSxocoZJ,Una Limosnita - Remasterizado,Francisco Canaro,,,1926-07-15,0,152173,0,0.628,0.104,-12.189,0.134,0.996,0.901,0.177,0,0.564,110.162,4,1
2114,0mqyDfjkzESmzslJZiTvJ2,Kapitel 333 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,127857,0,0.641,0.136,-21.685,0.951,0.629,0.0,0.316,9,0.264,86.239,5,0
2117,0pWUp1qX7g1Q5eExVSwtO3,Kapitel 142 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,124409,0,0.626,0.158,-22.549,0.951,0.385,0.0,0.164,11,0.288,173.549,4,1
2207,1Vfou9N7kqLpKkeQDwud6z,Kapitel 262 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,116076,0,0.709,0.147,-21.121,0.931,0.447,0.0,0.338,9,0.394,81.511,5,1
2322,2QHPoAo0HmUb0gmMeFBwZ7,Ya Karawan,Umm Kulthum,,,1926-01-01,0,402427,0,0.313,0.191,-21.77,0.154,0.983,0.744,0.266,7,0.418,77.619,4,1
2329,2U9QCAZMQdp8E1N49LOgq7,Grandpa's Spells (Take 3),Jelly Roll Morton & His Red Hot Peppers,,,1926-01-01,2,172803,0,0.784,0.57,-7.036,0.0513,0.951,0.874,0.069,0,0.899,105.028,4,1
2387,2y5xaDksqHdBjW8akNJJYw,West End Blues,Louis Armstrong & His Hot Five,,,1926-01-01,3,198533,0,0.576,0.234,-11.531,0.0537,0.968,0.646,0.0829,3,0.322,83.026,4,1
2413,3DRrNd5ThOJPI56ILXNjrA,Kapitel 49 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,127962,0,0.717,0.154,-22.369,0.943,0.399,0.0,0.353,8,0.246,123.582,3,0
2429,3NwU2igFjqR2zAG9sAkbZ9,Kapitel 225 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,133421,0,0.651,0.165,-21.793,0.945,0.299,0.0,0.109,8,0.395,85.644,3,0
2494,3tWuAu0JyjchOX2hmoCkho,Kapitel 171 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,126682,0,0.687,0.132,-22.106,0.961,0.525,0.0,0.254,9,0.387,82.658,4,1
2500,3x9KpSxgEFYAZNQUP1WjqX,The Purge of History,Future Rapper,,,1926-10-03,0,107101,0,0.747,0.781,-10.679,0.0454,0.04,0.869,0.342,1,0.535,95.024,4,1
2520,46SkgCAtwFdfjLRxI6T2VF,Smile A Little Bit,Ted Weems & His Orchestra,,,1926-07-01,0,170067,0,0.521,0.188,-12.85,0.0731,0.99,0.0434,0.0715,8,0.83,209.547,4,1
2608,4tL7xc5wpe8N5FjaqVbjih,Uno,Alejandra Zambrini,,,1926-01-01,0,271557,0,0.454,0.175,-13.367,0.0442,0.905,1.96e-06,0.134,11,0.302,71.469,4,0
2609,4uvWBxGYLjd64hpiEumW5o,Dead Man Blues - Take 1,Jelly Roll Morton & His Red Hot Peppers,,,1926-01-01,3,194630,0,0.774,0.213,-14.887,0.0869,0.989,0.404,0.287,10,0.763,128.421,4,1
2619,4yCbaL5XSsrmaCWJWWeswI,Kapitel 227 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,143897,0,0.631,0.269,-20.045,0.923,0.423,0.0,0.188,9,0.386,81.635,4,0
2645,5AjhbZprp5poC2402fp8NO,Monkey Man Blues,Peg Leg Howell,,,1926-01-12,0,176565,0,0.712,0.124,-12.791,0.0622,0.99,0.000233,0.137,2,0.334,122.965,4,1
2684,5U9sw7z3QKVvh1wssEY2l1,Mi Suegra No Me Quiere - Remasterizado,Ignacio Corsini,,,1926-05-14,0,114640,0,0.539,0.133,-24.645,0.0545,0.996,0.0825,0.109,2,0.712,122.173,4,1
2713,5mdW2GkkkiwVRIpYShThDw,Kapitel 239 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,132873,0,0.728,0.221,-21.45,0.931,0.422,0.0,0.163,11,0.398,104.498,5,0
2762,6C0k7xIhe3DakNTtSuVfnz,Kapitel 64 - Der Page und die Herzogin,Georgette Heyer,Irina Salkow,,1926-01-01,1,127936,0,0.752,0.148,-21.826,0.941,0.441,0.0,0.351,9,0.398,99.57,3,0
2867,2pncudlraeKtvdug3V2qzW,Way Down Yonder In New Orleans (feat. Bix Beiderbecke),Frankie Trumbauer & His Orchestra,Bix Beiderbecke,,1927-01-01,18,169640,0,0.683,0.31,-12.265,0.0494,0.979,0.818,0.114,7,0.562,144.638,4,1
2894,5rSyH6HlLYqp03z9h3LaRn,En la memoria,Agrupación Musical Nuestro Padre Jesús de la Salud -Los Gitanos-,Irene Gallardo,,1927-01-01,9,93376,0,0.546,0.0761,-21.923,0.0573,0.924,0.00607,0.1,11,0.434,110.511,1,0
2931,0KNUVBQBfNFdSyGYjtHKOm,Chapter 145.2 & Chapter 146.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,152502,0,0.673,0.293,-17.252,0.947,0.848,0.0,0.131,1,0.758,73.381,4,1
2939,0PNA4E4d2jz2FhUqGRmByr,Chapter 257.2 & Chapter 258.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,168744,0,0.717,0.311,-19.825,0.937,0.87,0.0,0.316,2,0.821,115.943,4,1
2940,0Pi1tZuc7pPCp77US8As8n,Chapter 103.2 & Chapter 104 & Chapter 105.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,138307,0,0.716,0.25,-19.449,0.946,0.884,0.0,0.315,6,0.624,122.559,3,1
3101,1da1k1W5wqPBp8UKezzltT,"Dir, dir, Jehova will ich singen, BWV 452",Johann Sebastian Bach,Thomanerchor Leipzig,Helmut Walcha,1927-01-01,1,201097,0,0.237,0.262,-16.244,0.0545,0.992,3.35e-05,0.119,9,0.223,156.599,5,1
3135,1t1azqN6A4J8qEvrvcZvAL,Core 'Ngrato,Tito Schipa,,,1927-01-01,4,163000,0,0.234,0.148,-15.533,0.0385,0.982,0.000195,0.161,4,0.158,80.644,3,1
3212,2YBi9E9AYwaXmQtt1mxMd6,Barrio Reo - Remasterizado,Francisco Canaro,Agustín Irusta,,1927-08-20,0,166440,0,0.633,0.203,-18.822,0.0684,0.994,0.937,0.111,2,0.698,116.605,4,1
3222,2dSQVrZ5OEalgZmRokhJph,Pobre Pecadora - Instrumental (Remasterizado),Francisco Canaro,,,1927-08-16,0,160813,0,0.622,0.264,-19.105,0.0438,0.995,0.94,0.109,5,0.841,121.195,4,0
3332,3LlYlWRzR4OGkzcDThU4Ey,"Kinder, Kinder, was sind heut' für Zeiten",Otto Reutter,,,1927-01-01,0,183507,0,0.724,0.0731,-17.936,0.511,0.984,7.19e-06,0.255,3,0.795,117.825,3,1
3417,44V6IHKgmQhdPu6MVxFSlb,Chapter 38.2 & Chapter 39.1 - Dolina strachu,Arthur Conan Doyle,,,1927-08-26,0,147904,0,0.71,0.288,-18.765,0.948,0.802,0.0,0.132,1,0.614,94.668,4,1
3429,49lckvbHetVtzAAAUkydY1,Chapter 197.2 & Chapter 198.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,143036,0,0.697,0.298,-18.39,0.939,0.835,1.04e-06,0.401,1,0.841,105.133,4,1
3444,4F1N9ZPId1QU8LqY7gTwWL,Calle Corrientes - Remasterizado,Francisco Canaro,Agustín Irusta,,1927-09-06,0,176413,0,0.841,0.0667,-17.037,0.116,0.994,0.112,0.109,0,0.655,110.323,4,1
3542,4uS58Ksgwr9rLjADTFwx1H,Chapter 94.2 & Chapter 95.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,144728,0,0.699,0.251,-17.982,0.953,0.793,0.0,0.236,1,0.62,135.437,3,1
3621,5Ojt88Cz0kNs98b3zKMQU3,Chapter 208.2 & Chapter 209.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,139796,0,0.657,0.264,-19.585,0.951,0.866,0.0,0.176,1,0.802,92.416,1,1
3727,65zRxrZUoOmxCNdTUOvdCd,Chapter 205.2 & Chapter 206.1 - Sprawy Sherlocka Holmesa,Arthur Conan Doyle,,,1927-07-29,0,128648,0,0.703,0.283,-18.276,0.939,0.851,0.0,0.186,5,0.831,135.046,4,0
3811,6rmR089uuREFmno2bY8u78,Otro Trago - Remasterizado,Ignacio Corsini,,,1927-05-14,0,160213,0,0.554,0.127,-22.759,0.0966,0.994,0.92,0.113,3,0.523,64.544,4,1
3880,4XBWKuOISkknpwgvux1xmo,Allegro con fuoco,Frédéric Chopin,Vladimir Horowitz,,1928-01-01,20,159093,0,0.241,0.137,-19.618,0.0284,0.945,0.865,0.153,5,0.242,87.033,3,0
4088,0ppdZX299K7PK6rHJIunjF,Canned Heat Blues,Sloppy Henry,,,1928-08-13,0,174150,0,0.687,0.357,-12.095,0.317,0.988,0.000536,0.645,11,0.557,104.736,4,1
4130,160hK8m2KjDRrINs2xVSg0,Cuando Volverás - Remasterizado,Ignacio Corsini,,,1928-05-14,0,152080,0,0.657,0.122,-19.126,0.0737,0.995,0.0495,0.155,9,0.587,124.938,4,0
4151,1CYYNXFRyIoIwFgnIuPxr4,"Waltz in A Minor, Op. 34, No. 2",Frédéric Chopin,Vladimir Horowitz,,1928-01-01,0,351320,0,0.27,0.0233,-28.815,0.0397,0.994,0.932,0.0903,9,0.0644,78.636,3,0
4184,1SCgdx5x6ojLNPnVNDGOaT,Chapter 2.8 - Zamek kaniowski,Seweryn Goszczyński,,,1928-01-01,0,112500,0,0.749,0.252,-18.218,0.953,0.75,0.0,0.303,1,0.646,78.614,4,1
4229,1mvW07rBIdeiKEIC2KO6qA,Change O'key Boogie,Sidney De Paris,,,1928-01-01,0,175830,0,0.666,0.666,-9.288,0.0376,0.951,0.868,0.247,5,0.885,100.695,4,1
4281,28zIUh3EEDX2q1ygd16CQ8,Chapter 3.7 - Zamek kaniowski,Seweryn Goszczyński,,,1928-01-01,0,127500,0,0.634,0.226,-21.597,0.962,0.69,0.0,0.273,9,0.548,85.053,4,1
4332,2SPOwMPEXB4Jm1MKzDH8Wc,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",Sergei Rachmaninoff,Vladimir Horowitz,New York Philharmonic,1928-01-01,0,891373,0,0.377,0.21,-19.139,0.0366,0.968,0.921,0.689,10,0.102,96.24,3,1
4345,2XuNCWr2CV8KDC7o94aaq7,On N'm'a Jamais Parle Comme Ça,Maurice Chevalier,,,1928-01-01,0,195973,0,0.701,0.322,-14.227,0.177,0.916,0.0194,0.405,1,0.777,123.804,3,1
4393,2s9giwxSPTWvhPMsH31tpr,Lechuza - Remasterizado,Ignacio Corsini,,,1928-05-14,0,138333,0,0.534,0.154,-22.099,0.074,0.994,0.798,0.111,3,0.825,127.852,4,1
4423,3AcBrHmKdIC8nLRyv9YD6P,Eye Shadow,Shungi Music Crew,,,1928-08-20,0,414053,0,0.628,0.791,-8.12,0.0573,0.117,0.571,0.0983,6,0.463,119.978,4,0
4480,3bxLqfjMUuSZDFumyDrDRU,Barra Querida - Remasterizado,Francisco Canaro,Charlo,,1928-09-24,0,183000,0,0.795,0.221,-8.87,0.0732,0.993,0.433,0.121,7,0.708,115.271,4,1
4549,44NP9MGXkDMyoJIdyCKLvb,Mean Mistreater Mama,Leroy Carr,,,1928-01-01,0,172427,0,0.746,0.281,-11.283,0.0385,0.932,0.000796,0.134,10,0.765,100.492,4,1
4590,4R9iyITP9NW2t1QAGdosmr,Canción del Carretero - Remastered,Ignacio Corsini,,,1928-01-12,0,141920,0,0.6,0.0755,-15.993,0.125,0.985,0.0,0.296,6,0.493,55.047,4,1
4606,4bczFxtrKmi7GzEO9SKAA5,That's A Lovely Thing For You,Phillips' Louisville Jug Band,,,1928-01-12,0,174719,0,0.545,0.302,-12.523,0.0438,0.996,0.939,0.281,11,0.873,94.242,4,0
4613,4h2GI2wraboqiFafyzPfVD,Chapter 4.13 - Zamek kaniowski,Seweryn Goszczyński,,,1928-01-01,0,119700,0,0.727,0.307,-19.252,0.95,0.808,0.0,0.166,10,0.805,73.527,3,0
4682,5FQ1qCDeDCUOb8HpIEM8FE,"I See, She Flies from Me",Henry Purcell,Astra Desmond,,1928-01-01,0,148573,0,0.388,0.0444,-23.195,0.0454,0.994,0.0537,0.111,4,0.484,130.101,4,0
4739,5ZKNxOktQ9KmEA7UbKNqYW,El Tigre - Instrumental (Remasterizado),Francisco Canaro,,,1928-09-16,0,163613,0,0.843,0.178,-10.579,0.324,0.99,0.000738,0.0862,5,0.789,121.125,4,1
4834,6ESRly7Y9zlnkuHzbMJMvM,Altar Criollo - Remasterizado,Ignacio Corsini,,,1928-05-14,0,155667,0,0.442,0.228,-22.663,0.0631,0.992,0.944,0.111,8,0.817,74.539,4,1
4865,2Rz9VA1rnpEBcNl1WNAlAy,On The Sunny Side Of The Street - Live,Louis Armstrong,,,1929-01-01,10,210787,0,0.614,0.363,-11.049,0.0541,0.383,1.39e-06,0.964,0,0.65,120.855,4,1
5077,2dd2dhvtAzWKUZ7w9pKSI0,No More Blues,Kentucky Jazz Babies,,,1929-01-12,0,182753,0,0.586,0.313,-11.726,0.0488,0.981,0.879,0.134,5,0.625,132.069,4,1
5133,3VEEqM90LChf8zWBnogKpN,Old Rock Island Blues,Lonnie Coleman,,,1929-01-12,0,192517,0,0.849,0.417,-10.368,0.071,0.992,2.75e-05,0.115,1,0.823,135.14,4,0
5233,4cm9p6MR6k9H81FLdl9Pe5,De Pura Bronca - Instrumental (Remasterizado),Francisco Canaro,,,1929-10-22,0,161507,0,0.748,0.304,-15.604,0.163,0.994,0.734,0.111,4,0.748,120.227,4,0
5261,4xYgI4Rce4SQY19reGFXaf,SK Among Us,Brugjam,MC Parso,,1929-10-24,0,212484,1,0.613,0.788,-6.19,0.0917,0.473,0.000501,0.0759,0,0.559,132.001,4,1
5280,5C0xcwK28jWgDlY3XU7PkR,Dolores - Remasterizado,Francisco Canaro,Charlo,,1929-10-22,0,178000,0,0.78,0.18,-12.35,0.0651,0.994,0.00796,0.104,10,0.866,105.151,4,1
5313,5fW8Yo9yXjjJokdTAb62DW,The Answer to the Weeping Willow,Joe Werner,The Ramblers,,1929-01-01,0,208827,0,0.373,0.348,-9.633,0.0269,0.834,0.00405,0.502,7,0.521,95.967,4,1
5411,6qZVF8rV8kKaT98KHgnCgj,Quand Refleuriront Les Lilas Blancs,Gesky,,,1929-01-01,0,169320,0,0.461,0.281,-11.928,0.0493,0.991,7.15e-06,0.379,2,0.571,88.45,4,1
5425,6wSvCc7kjqNCKlgsrKKdL3,Do Something (Carroll Gibbons),Carroll Gibbons,,,1929-01-01,0,201840,0,0.691,0.0905,-16.477,0.0602,0.96,0.00113,0.14,5,0.699,155.41,4,1
5455,7KzdQkyv3u23GFxxi9j7fX,Zaraza - Remasterizado,Ignacio Corsini,,,1929-06-19,0,114293,0,0.716,0.0858,-20.236,0.136,0.994,0.000525,0.145,7,0.785,126.919,4,1
5548,03qUZSPHqcWoItJRvyDGOl,"Wedding March and Variations, S. 410 (after Felix Mendelssohn)",Franz Liszt,Vladimir Horowitz,,1930-01-01,9,362293,0,0.346,0.3,-15.914,0.0379,0.988,0.85,0.448,0,0.353,76.991,4,1
5560,4QV64XiqdMv1034h8Csp2X,Money Is King,The Tiger,,,1930-01-01,8,179773,0,0.692,0.402,-11.727,0.202,0.914,0.0,0.066,2,0.961,88.699,4,0
5597,3ztbDgnsx4QDjvGvtppccG,Bajan Girl,Lionel Belasco,,,1930-01-01,5,170160,0,0.559,0.238,-20.619,0.0368,0.996,0.954,0.141,2,0.898,112.563,4,1
5622,014HSUqhtDyunz3E1hDH0I,My Sweet,Louis Armstrong,,,1930-01-01,1,196227,0,0.732,0.385,-8.389,0.0442,0.89,0.0291,0.0626,3,0.78,105.813,4,1
5696,0IVYUc7rXpVdJKHPo6TCij,Αδυνάτισα ο καημένος,Α.Κωστής,,,1930-01-01,0,233667,0,0.688,0.382,-10.72,0.0405,0.986,0.0,0.113,3,0.805,95.987,4,0
5698,0Ir6WRhNwm765P3jmMT3cW,Old Lady,Monroses String Orchestra,,,1930-01-01,1,173244,0,0.36,0.25,-13.33,0.0708,0.996,0.574,0.121,0,0.422,203.854,4,1
5792,0ft6saGihu3M4hveR7OJV3,Endvision 2,Cellular Project,,,1930-01-01,0,486078,0,0.399,0.905,-6.154,0.0441,0.0175,0.905,0.232,2,0.528,160.715,4,1
5868,0yT6uTqKND21k3W9MdVqPG,Destellos - Remasterizado,Francisco Canaro,Charlo,,1930-11-20,0,171493,0,0.76,0.247,-7.409,0.0879,0.991,0.395,0.322,11,0.451,113.565,4,0
5887,12c2yLuFJS3EarZ8MYhtco,Linda Loirinha,Silvio Caldas,,,1930-06-14,4,165409,0,0.618,0.536,-10.383,0.0587,0.844,0.00238,0.162,1,0.857,134.092,4,1
5937,1HZiHEA6MVMCSzEE2VlV4j,Aquel tapado de armino,Carlos Gardel,,,1930-08-18,4,146253,0,0.717,0.153,-13.439,0.144,0.983,0.00992,0.114,5,0.456,127.816,4,0
5987,1Ux0s8ZZivj2e07DaFSnO3,Rinaki,Georgia Mittaki,Giorgos Nakos,,1930-01-01,0,202027,0,0.395,0.508,-6.157,0.0809,0.86,0.0,0.174,1,0.473,197.195,4,1
6063,1odR8m0jCeyyiJIRsiWe0p,"Como Tu, Otra Nena No Hay - Remasterizado",Francisco Canaro,Charlo,,1930-11-12,0,205000,0,0.535,0.169,-13.247,0.0744,0.995,0.656,0.123,2,0.785,208.774,4,1
6224,2Nfu4ItzA0j0DZKrjLuDXp,Mikri Vasilikoula,Giorgos Papasideris,,,1930-01-01,0,212733,0,0.448,0.375,-12.285,0.0423,0.992,0.943,0.16,1,0.83,104.275,3,0
6242,2Qgoi6zg5EwWORPbdMSqjX,Reign of the Georges,The Executor,,,1930-01-01,0,184294,0,0.467,0.352,-13.084,0.152,0.985,0.0,0.463,4,0.882,183.089,4,0
